epoch	reward	protected_cells	budget_left	time_last_protect	running_reward	avg_cost	extant_sp	extant_sp_value	extant_sp_pd	coeff_0	coeff_1	coeff_2	coeff_3	coeff_4	coeff_5	coeff_6	coeff_7	coeff_8	coeff_9	coeff_10	coeff_11	coeff_12	coeff_13	coeff_14	coeff_15	coeff_16	coeff_17	coeff_18	coeff_19	coeff_20	coeff_21	coeff_22	coeff_23	coeff_24	coeff_25	threshold_0
0	-99.83333333333333	154.16666666666666	1.548172538190231	8.5	-99.83333333333333	8.715672675473645	0.8003333333333335	0.8354424642871575	0.8986074781702099	-0.36213154719496876	0.47946481574626926	-0.003246967118819055	-2.104700869509644	1.0427278212291073	0.5423212466426656	0.6060458026142239	-0.8887651465098485	-1.926354440764718	2.450693843459464	-0.9987143424780476	0.06073879060136103	-2.052299732672509	-1.830515255784753	0.7267817690129638	-0.5313482568632993	-1.3701553423046446	-0.8262401531866697	1.8639659865078655	2.1530625392641016	1.2441982520768056	0.05378071105346383	0.7264907380543802	0.7785319392865151	1.1141491862102546	-0.6003539529467408	0.6851589734816227
1	-110.66666666666667	133.33333333333334	5.018760991464954	7.5	-102.54166666666667	8.926337518147605	0.7786666666666666	0.8526634422280073	0.8894337027306708	-12.084940304089782	7.376684878684999	-4.560320320816411	-5.801165503188067	-1.2945844366790304	3.871043789551499	3.552570016732004	-2.2081328052409512	-0.9218380033227307	13.12480525546549	-6.642581374986853	2.5054265436520993	-2.3064837045752573	-2.1375247757114444	5.881401801378754	7.884864773852574	5.428421726928349	-18.983057944717626	-2.04937205241237	-3.001964458165593	3.2506812204438287	10.523944514921816	4.442936413130519	7.227839611923135	-4.000512160886151	-11.411717739059775	0.6128487899401956
2	-82.33333333333333	154.16666666666666	2.103196598337416	8.666666666666666	-97.48958333333333	7.899094579531382	0.8353333333333334	0.8606894358767393	0.9203780646614867	-14.153446197179496	8.374620591618324	-4.240888469534579	-7.666973928129314	-6.6468017388342995	9.171182769740303	5.217778163524117	-5.497673980269498	-2.1400838219308826	7.972103380123986	-5.551831411442117	-7.594811850565675	-8.045591700652839	-5.084713281991539	7.595484845920994	4.713611417475717	-2.019148528821642	-15.746827385629008	-6.499874932994933	-1.431685820703609	5.438922691855119	21.598897172231833	14.282816300303075	6.768601055075762	-9.303958139795025	-19.422541196960687	0.3727182980399164
3	-79.33333333333333	158.33333333333334	1.5825791514606362	8.666666666666666	-92.95052083333333	8.816488211335185	0.8413333333333332	0.7701782292084284	0.9165199724409451	-17.96606272414767	12.879193966030957	-3.2242824429591423	-6.628780880191705	-6.259154711230492	13.397586086080771	1.659615935525499	-7.236834473424176	-0.09111531837370901	6.361829103915999	-7.320576462319669	-8.508764591469825	-10.819020685163856	-1.0752514239481918	4.618134571835613	5.060000167035496	-3.043708607794086	-20.053162050364325	-6.064589343605563	-0.8173082776113871	6.8776952382586245	16.94823335646084	11.5887604169572	5.102096791391363	-9.275577944614575	-17.155468466330227	0.4595913629314722
4	-95.16666666666667	150.0	6.32143886611955	8.166666666666666	-93.50455729166667	10.20108547099497	0.8096666666666668	0.8255487681630319	0.9075743448587725	-12.870249157960812	11.530885718327971	-6.39037776648928	-1.5877609051888735	-9.760494798306121	13.610019283869967	-1.8176703192368144	-3.8258840492206647	0.9400832820321101	7.979938806738493	0.2078298635519058	-8.962370416432833	-12.181844571427181	-8.87098777554547	10.476317850763214	1.160727935778492	-7.968592559539373	-13.849377479814844	-1.611759395497998	-4.462985946512267	7.027509828429075	18.339773460664848	11.570551182145824	4.189439678756774	-8.850654495173993	-17.557119082024947	0.3442311898779163
5	-83.33333333333333	162.5	4.339428349177165	9.166666666666666	-90.96175130208333	7.103282348560509	0.8333333333333334	0.7268218227571875	0.9180805129360673	-8.115785133347654	-1.2342611896004936	-6.622813482702411	-5.796476973745275	-12.690979649687606	16.405001552332266	0.6509897713917967	3.7461526432917265	3.7506259347158197	10.65714066525024	-4.07646808577408	-9.571681706602279	-13.82004693651882	-15.590830752231696	6.6617951318772795	-0.1313363817452231	-2.8902273873935904	-11.95970364301252	-4.968385618915192	-1.4774292943949137	8.422041781590238	17.935445322966622	16.645918487537827	7.081598955713604	-10.179992781519315	-16.180188293673663	0.6486121244726439
6	-90.16666666666667	150.0	3.1759315160931583	8.666666666666666	-90.76298014322917	8.75057683504239	0.8196666666666665	0.805456701556273	0.9050241509655278	-5.162777929294943	0.422951859515194	-5.092482184938157	-10.785616444220235	-9.69571067957369	17.455719054284103	-0.1570670200077432	9.08670958543278	3.091606264868014	18.635967702053367	-0.6743028166974345	-9.605006578263323	-17.703621310229305	-14.495618638499863	13.608390849283463	-7.129451141517218	-6.626751713592599	-19.785821453319052	-7.098462518174639	1.0386745430868665	15.519641850046474	10.363340843215198	12.420912390517042	3.283950264106079	-7.359764166052058	-15.683622776261238	0.7014926717138802
7	-103.83333333333333	170.83333333333334	9.242856256878426	8.833333333333334	-94.0305684407552	7.774059127777455	0.7923333333333334	0.7594148334013996	0.8983060888121154	-5.39485285098405	1.38410284207577	-11.210714720812277	-11.179607222485668	-7.860095877203883	11.175835077487523	5.014022971982903	7.858815637401464	5.6186740680694385	15.798214477030943	0.9172725064593834	-9.054413695775494	-15.933240167060326	-10.996293321536704	16.762736287688462	-12.049175000386791	-10.959493640137861	-23.34316432600237	-10.926923472733906	-3.7813137017923992	12.19863380279089	11.87748080643799	13.283383279270941	4.539751263657843	-13.793179379321526	-13.087940469741515	0.3795855949470979
8	-90.83333333333333	154.16666666666666	4.195013567148602	8.166666666666666	-93.23125966389973	9.61062910804911	0.8183333333333334	0.7840741866579499	0.9100223320086475	-8.664104199342143	4.357602095746806	-14.516832535905937	-12.634425069802873	-9.689281648251187	14.501057807158837	5.171765594995777	12.346332772192667	7.478255993589004	15.128861680151937	-0.47189197418419915	-8.570554615699713	-14.058953538664293	-9.730654283785706	18.636501784235396	-10.020904492001433	-10.626080862552952	-20.822057769339047	-15.075478775273872	0.5790829346577153	9.47852354139214	10.475035237715653	16.896503485960785	2.0707383384050866	-10.927086040116071	-16.866379403843155	0.37436248529568317
9	-102.66666666666667	145.83333333333334	1.395310319250408	7.833333333333333	-95.59011141459148	7.16380353279227	0.7946666666666667	0.8196530384472259	0.9002229775330118	-13.31018045735566	0.5439073547021356	-13.671984495061933	-10.392043534409051	-8.133802250826527	13.404267245863416	3.714687366872198	13.171763933330059	9.682860680105206	19.183506718998295	-1.9616539855671487	-4.712684853219834	-13.024857272225919	-6.7620046539706555	18.896504246795494	-8.007674323119279	-12.001379755955508	-16.119296929612243	-18.93551685233628	-0.49447676151248565	9.707972695449502	11.981859813089368	19.04542334754637	3.3666880014790954	-9.515868808881532	-17.04294674868206	0.37432700526254375
