epoch	reward	protected_cells	budget_left	time_last_protect	running_reward	avg_cost	extant_sp	extant_sp_value	extant_sp_pd	coeff_0	coeff_1	coeff_2	coeff_3	coeff_4	coeff_5	coeff_6	coeff_7	coeff_8	coeff_9	coeff_10	coeff_11	coeff_12	coeff_13	coeff_14	coeff_15	coeff_16	coeff_17	coeff_18	coeff_19	coeff_20	coeff_21	coeff_22	coeff_23	coeff_24	coeff_25	coeff_26	coeff_27	coeff_28	coeff_29	threshold_0
0	-90.5	129.16666666666666	2.0286991327854236	9.333333333333334	-90.5	10.090548425369281	0.819	0.8713850093893979	0.9069601266881188	10.909893356936525	4.859320467001236	8.26065785581196	2.24047480180014	8.158051085443724	12.488448493745352	-1.835378267016924	-2.9280903048769518	3.9399058512954914	2.7571828139138455	-3.162883109759378	2.0519080780239443	-2.271317688930544	5.780055651519586	7.6816407346296	3.171275894125624	-7.991426475893724	2.8935138839126755	-11.411394154349862	-2.995092751074555	-9.715419223950338	-11.847136699190763	-10.005816593170946	2.8031131063168995	0.3085437891989541	-3.7722652284826093	0.7704893050913441	-1.412141851721138	-0.4255274700527018	-3.8708555682937	0.7372008305385156
1	-81.5	154.16666666666666	4.068015067404327	8.666666666666666	-88.25	8.795820024415772	0.8370000000000001	0.8630125454572086	0.9178954228097084	7.874169293919298	1.165858323970311	13.64805399005229	6.682454553512227	8.111366238992158	9.514124184197591	-2.5765959890381507	-1.378421846681132	5.524110074635312	4.845504472471714	-5.905391697923439	-3.196965623187942	-3.71565790882602	8.711173053887274	8.987001082193661	4.755117814740733	-9.351811630061853	2.9462305763994667	-9.906189607057883	-5.8586006509724	-11.01526211052166	-9.014061259415563	-8.826689686899565	9.024225515338843	2.38041717454289	-5.201709802791573	-7.351894697039183	5.172470472482761	-2.6990449242282106	-0.9014078329956585	0.6244187790783238
2	-89.83333333333333	166.66666666666666	5.864492759195804	8.833333333333334	-88.64583333333333	7.687866936260658	0.8203333333333332	0.7941073881871256	0.9106015258669854	4.590073388184663	0.5218631931716737	12.815918738889795	4.605718350568267	9.497536544769607	12.53775678821981	-0.785027570145447	-0.10038631269477416	6.399953382883004	7.548623781196383	-9.3586620425374	-5.061003163299506	-4.523484257259221	11.407568197971859	10.656485490316495	4.429781250876446	-8.898120626916732	1.5597028845287928	-8.925028533414388	-4.182948897514616	-11.273952517609695	-9.175513726278052	-10.304899449044946	10.598302080444633	-0.4329255185474121	-6.2006288819935165	-6.9995335753687495	3.6405886624337405	-6.303056074683624	-4.716438443353642	0.6190522979780139
3	-128.33333333333334	141.66666666666666	7.6202453644309145	14.5	-98.56770833333334	6.148406936473798	0.7433333333333333	0.7776191078978782	0.8688489451715719	6.611372355869144	6.260990920296772	14.83717966436874	1.6888433876010085	11.362715483141109	20.40685204543833	8.758201514616543	-3.687499210724628	14.851606219616837	5.152252322195576	-9.030903366245331	4.975032135884498	6.93826144766986	16.957216519964803	10.65871731952654	-5.1112800241783445	-21.6791385074724	10.02870347662344	-17.90045488340514	-19.40182238063102	-6.471781386191786	-6.82710164597461	-3.259362624692195	3.6340387826624134	-4.789251250378356	-7.787881257204278	-2.2605853640783176	5.517598063242581	5.634842838136757	-9.31418124509428	0.2537681299482234
4	-86.16666666666667	150.0	3.5068878974626103	8.0	-95.46744791666667	10.176872740777327	0.8276666666666667	0.9259763487744938	0.9158729613952573	11.28903307121564	8.590972702214653	18.169360380605262	-2.055590147995253	14.965795366734854	22.036001142587907	7.617877214997593	-3.877585446711516	19.251092692277965	7.542890053247241	-9.357726754179064	6.469098463262745	6.880541055752395	16.857318263090402	10.246592087007999	0.41792496923192957	-23.604569739575414	12.312663838299724	-13.961052888352457	-18.397501153635524	-8.835305748440254	-5.207596348821609	-7.179542023593097	5.227748434012561	-6.3838220625886555	-6.922327794334382	-0.8279831387770158	6.243808974859856	1.8681853031550508	-7.562954354543826	0.4094465012962101
5	-80.5	162.5	2.499119432126754	8.833333333333334	-91.7255859375	10.76794353044743	0.839	0.7701673273746298	0.9209814270694543	6.867332463918665	13.554778387185243	14.285415056412848	0.8039808932032413	12.449028506528006	20.742314943899054	6.385570880545941	-3.696592745610105	17.41842548090147	8.934263696199409	-10.011875355607064	9.274329549975782	2.4009253063243303	24.474695011505823	11.559043739673081	-2.4403429002171855	-26.93595448266909	13.920594369054081	-11.380517963963557	-21.481760766808552	-8.893692803431241	-6.34539379870509	-1.7900567821520443	6.707171372066773	-7.369889775578317	-8.664926824387027	1.2955096704710107	0.21009672949685232	0.9758781304508097	-14.171189159303914	0.8023693195217922
6	-122.16666666666667	170.83333333333334	8.229084427575346	8.833333333333334	-99.33585611979167	8.108253851817787	0.7556666666666666	0.7860711179373535	0.8705207098903789	-2.6656629791722963	11.865171504672624	22.688882885826935	1.6027688465522925	31.390848759621846	5.985897847798174	3.125977109032434	-4.000316958740266	28.008418732616697	1.4983151870338034	-8.052980703491329	5.12964166630947	4.610381960792095	18.10969635665537	11.76303349078361	-16.527588098448994	-33.681956395753524	8.382751465873179	-19.026521269454225	-18.522717914906238	-9.06192835900087	-0.11002866174164527	-4.057948363732155	2.8036737263885985	0.7610567412544587	-21.23481732870097	5.349024771768583	-0.16872547830467938	-2.8890165492913917	-9.210323770753789	0.7910118416235453
7	-92.16666666666667	154.16666666666666	3.57924206506897	9.166666666666666	-97.54355875651042	7.722356482530754	0.8156666666666667	0.7619581326303718	0.9137888223915542	5.477323427054939	14.653218043462836	22.409380674582614	6.90729988503982	32.84078631627125	1.4871843858086873	6.479589980666162	0.1571205613612987	27.363707408815102	3.287487774280804	-5.65952133475618	6.98037473550541	2.8241615153148674	21.112020930110802	19.676932864908064	-14.623900475083305	-34.069232221729216	8.414977437551888	-15.688992757258546	-23.231930842209742	-7.35567930020856	-2.1218240453387476	-2.8288106674927436	4.167762290638716	3.6519726930608143	-17.695370885108872	5.520188507599348	0.6487564216264707	-4.191205880205677	-2.0659244173030338	0.8338012985195227
8	-119.0	129.16666666666666	2.4243765142234808	12.666666666666666	-102.90766906738281	6.37970187498627	0.762	0.7390634075634428	0.8744062425984879	0.5753932176163818	13.556570398726915	24.97212688288312	1.1306141691439988	33.338203920114715	4.610785097215846	1.0156951528881368	0.5330459633249343	29.731209211164977	0.07004525879412737	-9.562199111872475	6.696305911136609	7.40459608277628	21.456688624221922	24.9550403968808	-12.135687385123664	-34.40824964897057	6.582311186324206	-21.96563963887124	-25.65803821716723	-3.274888845235399	2.20843811154166	-0.7203286474629551	5.079672757639122	4.048573195202487	-19.210740806981004	3.6690646888208454	4.441140223657355	5.092633453674626	-5.179784516106986	0.7382067548316867
9	-137.66666666666666	133.33333333333334	3.576325144192795	7.333333333333333	-111.59741846720377	10.432978601471456	0.7246666666666667	0.729651363256345	0.8536370983851908	0.8872657945205009	10.878009437183206	20.731086782092397	-6.994752092185533	43.44084275342317	7.55498121811703	-5.058718931655259	0.24767029458033507	20.697566578408082	0.03051113028224093	-0.9876358362709254	8.117266347406145	8.536919920279399	26.285121052255025	34.84672981911661	-24.023481180106653	-47.07014308576809	7.082098790361071	-24.39110948152728	-20.81446796662493	-10.448622479537548	3.2366290770639905	1.1829632388291014	6.896121903816313	10.409050158812764	-28.0332108246621	1.1863281132503518	-3.4143983443068455	-1.8268510128524271	3.2418100545560264	0.7465305409794343
10	-149.5	25.0	5.638064201806986	12.333333333333334	-121.07306385040283	5.0	0.7010000000000001	0.7774853025672487	0.840914153280877	-5.671237468799927	11.875300077483768	15.063310763220242	-10.89629370091475	50.332925395942134	8.517713659760698	-1.637095089029319	3.7508005085662948	13.842735092861519	-9.344253345779244	-2.3100532264435043	1.599425557197173	6.333981650522313	31.2845054569339	32.96160930213138	-25.255432709013125	-47.495575160967974	12.399467118574677	-26.754406621597404	-14.432871062760775	-18.898040063472386	13.266941247491161	4.411080995500281	14.87165246130129	18.722812831404482	-29.994481348377647	7.914983824352451	-7.291794699557814	-0.7153191005892583	-7.211177573619054	0.5963720923727447
11	-115.5	141.66666666666666	5.17293383468824	7.833333333333333	-119.67979788780212	9.487004268024563	0.769	0.860071482773893	0.8793106713818326	-3.361238645928023	15.32084028386045	8.19689083528292	-9.44000294789216	51.507143103538006	15.108122614093544	-6.25871997090767	1.511091673826782	15.050146595521738	-12.374191832610336	-1.0650488141956238	1.8903563399482155	5.1317237214464315	32.02560946133143	37.336110563685494	-30.761959233425607	-45.504768237966964	16.19164610090201	-26.132787233828832	-14.944286675027492	-19.534635240354802	17.30956729791796	7.366170964141641	15.806176811632426	17.828403953596265	-33.792907056392536	1.5524065709476602	-11.894991804939837	-2.7415427115403523	-8.71884893661537	0.666451567462461
12	-106.5	137.5	8.684715426001626	7.5	-116.3848484158516	6.346087745540654	0.7869999999999999	0.7822116718300703	0.8979702953331773	4.6399747951316765	10.288159934100932	0.2079593966319795	-5.777887926413121	54.049362378555905	11.038109879433474	-15.302342707316654	-10.887888823645362	17.91063551715072	-14.330284246435857	4.381782029519947	-0.7050097469112804	3.202332502962409	29.567300224256794	33.34163833594475	-32.07407462017514	-48.1575883059759	12.17200753635461	-32.06243220546782	-21.077837628885344	-20.369932786758895	15.523769038221976	14.139467205666588	20.045546108226823	27.19315502063281	-33.31618943778653	1.4055878585020278	-7.125241277272025	-3.429894280236198	-5.3242667832743145	0.7112735667228904
13	-117.0	137.5	8.960478653079017	8.666666666666666	-116.5386363118887	10.351075039090109	0.766	0.8090233080632271	0.8790601685175057	5.8123122045099045	8.398162607493864	1.0240089597521502	-5.815224832452694	54.871652267576835	16.239736298942166	-13.714885762148409	-13.706280245452769	24.061953297645218	-16.46949700717309	2.208000956177166	-5.497173224955326	6.512078539798481	24.658417349159127	40.9440992587384	-30.847617799863713	-38.960012837206605	13.035613501552495	-37.71015999400709	-19.851801328924545	-18.3012350141671	18.76177314669809	16.29740720682315	21.975587925398408	26.85953892398158	-31.934887505365047	-2.2926722547956704	-2.3727690198008213	-1.5430657258703548	3.35260771294141	0.7312023413470489
14	-52.5	183.33333333333334	3.7545471906358254	9.333333333333334	-100.52897723391652	8.717764145643994	0.8949999999999999	0.804022901905392	0.9506531303443052	3.2316494898754216	20.838449512962114	14.467835502844817	0.5350406204518396	51.40232717565718	22.98495814550401	-28.935733111778582	-12.304058870638189	28.900759898962882	-15.040386069355483	-1.699879238403152	-14.447519047611582	4.676727865591572	24.009039519029056	27.8753444410873	-11.768413570684462	-47.78928949912579	8.608100600163102	-37.052518077476954	-18.507247809931123	-4.258863632857052	19.742593112058557	18.64911009422256	19.73190636499545	8.526676834104077	-22.72216815822509	5.897726110567094	-11.63435923173914	4.590358119094258	0.7591999281485613	0.5788029670670517
15	-125.0	112.5	1.8694401556458962	6.5	-106.64673292543739	11.101830276559136	0.75	0.8174253625400145	0.8755474101605311	5.038446677716482	23.23579105439327	14.4294747538278	7.6360699455555245	58.89309152326102	13.790972554530518	-32.18037915237521	-16.073733852732076	31.18873548009379	-8.364696778118551	-6.97719781906561	-0.8480202346141681	9.547873601842813	23.686342185660042	38.73048107614514	-21.560481445397382	-52.12706272772968	4.540691550577414	-39.67503402312736	-24.250909706939836	3.109678801238518	30.58627921893539	8.322519686882975	12.655904213271024	-1.7741548984322328	-23.866484120359495	8.124328934552581	-18.24478412876854	3.9049609298440204	11.263705773885421	0.9537368319279367
