epoch	reward	protected_cells	budget_left	time_last_protect	running_reward	avg_cost	extant_sp	extant_sp_value	extant_sp_pd	coeff_0	coeff_1	coeff_2	coeff_3	coeff_4	coeff_5	coeff_6	coeff_7	coeff_8	coeff_9	coeff_10	coeff_11	coeff_12	coeff_13	coeff_14	coeff_15	coeff_16	coeff_17	coeff_18	coeff_19	coeff_20	coeff_21	coeff_22	coeff_23	coeff_24	coeff_25	threshold_0
0	-61.48589382151536	158.33333333333334	2.9002592835965246	9.0	-61.48589382151536	8.611963094471506	0.8370000000000001	0.8770282123569692	0.9190676941886574	2.392878785595518	-5.79461475317867	21.45477791213246	1.943130490462351	-11.11209382835534	16.36500257867495	2.0762304971490253	7.684009131119568	-9.32983024363658	22.31807920625879	0.6394489301665635	7.705648892304749	-1.039521603087147	-11.550792578697093	-7.094240008439243	-5.522675335382755	5.939211475185738	-0.8783617411928232	0.749954431043121	-0.0522518703619375	5.390820359203034	-6.982002139786471	-15.244642474345762	18.48914516752076	-2.9251297713406905	-15.544026377092603	0.1245274158240924
1	-41.389212020071064	154.16666666666666	6.4545612609879095	8.166666666666666	-56.461723371154285	12.294471382561428	0.8496666666666668	0.9172215759598578	0.9286425134085486	-0.0006639712738323311	-3.91940763847544	10.1304960103835	5.444930315388175	-9.248796899483445	19.24064177148141	11.61686901141937	6.605903433405427	-4.379068464765	16.810826266591285	-0.2364502444097939	6.122343603577598	-7.173477507187111	-13.194813674218405	0.7468758275456633	-1.2493787507087344	3.4522704177217904	-12.24778524089954	-9.633548313070378	-5.2278774739227	-2.167360310614602	-3.6133954942695565	-26.368658672541393	20.15576257552968	-13.528620649089504	-15.337560177112527	0.07695426890975497
2	-120.68345406327167	150.0	7.110027070799376	8.166666666666666	-72.51715604418364	9.691423260777658	0.8113333333333332	0.7586330918734566	0.9086720309871253	-3.5315397820096996	-19.91214856419911	28.15943522272339	-6.479835488178891	-30.037965990573582	35.2271248308049	-18.18781844143472	9.94456004697986	-16.3212411601546	7.236221704314518	6.784687985455875	21.0659092070313	21.390656176901672	-17.114018813712573	21.82685664657309	16.423001364565835	16.409755439674072	-37.83686002919002	-29.45212509726235	13.936857036129918	-6.509194146792475	-3.701797494343463	-35.8541019951289	11.871189907251711	-40.75638969699588	0.11889064196584798	0.3296627851205451
3	-76.99106440288905	154.16666666666666	5.368228143626723	8.166666666666666	-73.63563313385998	8.093407670576438	0.839	0.846017871194222	0.9216535649700259	-3.0462704757091323	-33.64420184979877	26.7779160507934	12.337271995070394	-25.711435056711824	25.675091753533376	-27.162128775722458	12.88085693347529	-13.796108551549855	24.792655978444415	2.5474428655884607	-9.145677105724701	5.146834977560697	3.523070494661585	8.579902995346465	14.465937549300701	26.770397683261407	-53.972364566054	-39.67837839606304	42.23637506131326	-2.663423838401105	-20.27514123058837	-27.219966615091426	13.683540484580856	-70.80073829366083	12.550036764422686	0.08758984373055953
4	-82.90218308393838	120.83333333333333	1.9684053835720798	6.833333333333333	-75.95227062137958	11.674496416224498	0.8109999999999999	0.8341956338321234	0.9064271002655798	-28.10094917603878	-32.232074426827594	35.60178406934513	20.73723220319401	-20.742611063327523	25.699535652291853	-44.21605003259325	40.47941497457356	-17.06281430528756	25.192761213733394	-13.565815931782037	-13.948604102595098	4.315240134231347	2.8818970093897955	1.828480186412592	20.903479861126378	1.4323366502227657	-45.293855591038856	-67.9965316656805	40.32186331158453	-7.592981945565568	-26.88032944044299	-37.59145884794985	14.750378383957221	-75.4396352508068	13.527784121751242	0.05879162667964195
5	-69.08277520098345	129.16666666666666	2.592353281383533	9.0	-74.23489676628056	10.2622494287747	0.8046666666666665	0.8618344495980331	0.9077366709380613	-23.765420234939445	-16.70348167525305	32.05968537780056	20.739842349711218	-4.263910685380758	25.16001672293517	-57.82920485362662	48.975273147691354	-31.666654298808197	19.185782904070823	-21.449942414843886	-20.78800406058679	15.337432767457102	7.415560902515988	-1.553936720474129	23.48834924627266	-8.450601183393633	-42.65999720416304	-66.39380122986422	24.640674452908744	-18.911122004117296	-54.15468888576315	-47.12894449022057	25.113510404750187	-75.87507230204864	26.75791896108599	0.009403676789854761
6	-47.06831320653717	133.33333333333334	5.091470630020033	8.666666666666666	-67.4432508763447	9.180237003522898	0.8266666666666667	0.9058633735869256	0.9177957807890641	-18.43497415586186	-16.172215301351212	32.10100783250081	18.178566938488608	-4.779993942757915	18.386966449665273	-50.80678436384481	56.41386403660547	-34.09233187055744	13.391861810314627	-18.40767933909961	-13.124391474584822	33.192877708940145	5.3311222543610945	4.21852813879492	22.096184419950877	-9.794256115417339	-37.4705338749495	-71.64873778196612	33.115534694839994	-14.504458900670548	-41.55880928779281	-45.52704500247331	24.714709136609994	-87.08847054583902	29.067198484225536	0.026570970037335273
7	-52.027908041730264	120.83333333333333	3.069986627699096	6.833333333333333	-63.589415167691094	10.471286926893642	0.8206666666666668	0.8959441839165395	0.9081111282329625	-11.574420856028318	-13.688573295458378	27.319432765605228	14.532135161007513	-3.25009444235356	18.933588752604287	-59.687301850251245	53.03905494739615	-35.80687784795145	12.834829191243655	-17.188693599542894	-8.87557011808775	42.27423184778666	7.395601424459517	18.157814021182016	17.748810480908865	-7.039796186875737	-39.347988204675296	-71.70556849608035	37.966733384124424	-20.981960258778948	-43.54518638692619	-43.103130146870996	35.053496317813945	-92.23128625506484	24.623845407622934	0.08918940977699216
8	-76.34140852107595	133.33333333333334	2.347875029642252	7.333333333333333	-66.7774135060373	11.233581460653236	0.8266666666666667	0.8473171829578482	0.9140429087510853	-41.38569462872243	18.72873573292985	0.165850807039984	17.163971043541512	-24.73366244664141	38.78078266707418	-66.79662028316298	82.88602876603638	-44.50444712920033	5.55563941863343	-35.088092157026594	4.941249476788473	54.32471160363984	11.580339812860633	19.613596860418266	26.956554188551152	11.852522447276026	-30.516916619622435	-84.90550887224373	66.3350651806912	-24.841656806896427	-53.96491705628676	-8.631319691095193	25.855893284631044	-60.8583881591334	17.8928393317483	0.21339111278543887
9	-22.30295243309982	158.33333333333334	2.8961987413029995	8.333333333333334	-55.658798237802934	8.740153297973787	0.8376666666666667	0.9553940951338004	0.9229861555808011	-31.80060893403776	21.576845389038642	-9.043952470428495	18.70378790285533	-29.264927114563438	47.097344792222074	-67.88717790583021	82.05700245666355	-48.511917326814164	3.813004264650135	-28.771679140037698	1.9013698380056905	47.9193641017769	3.3950887965209198	23.53733039296182	22.202925199721015	14.991313895230496	-37.6549591383251	-79.00094401783988	75.63566239941028	-20.5193139783191	-56.82869668448401	-18.159086404679506	26.301198119295936	-62.39870598923042	14.97462532213332	0.44081829341367385
10	-9.396945229561984	166.66666666666666	1.818300045887094	8.833333333333334	-44.0933349857427	10.211551622380798	0.8703333333333334	0.9812061095408761	0.9432854681828902	-25.689910713430297	18.54302182926823	1.0757849626684148	21.062137882549894	-28.632593130960966	45.311031069577574	-72.14551936791385	85.37810379379378	-62.93698454122252	20.086816510876663	-17.111644355979067	-1.0157468994910417	46.63012990207114	16.39475290109862	21.46629575836723	27.804312543890052	10.018793909275164	-31.958582630875732	-65.01889705549002	79.06076954854048	-4.3421822844148	-50.37752622464194	-14.239082388421341	28.490184771367524	-59.778599879258856	17.530683706117923	0.3923666896832323
