epoch	reward	protected_cells	budget_left	time_last_protect	running_reward	avg_cost	extant_sp	extant_sp_value	extant_sp_pd	coeff_0	coeff_1	coeff_2	coeff_3	coeff_4	coeff_5	coeff_6	coeff_7	coeff_8	coeff_9	coeff_10	coeff_11	threshold_0
0	6.0	150.0	2.111797501538764	8.666666666666666	6.0	10.835447736337736	0.7983333333333333	0.8184063081382998	0.899251606175841	0.014787152347880805	-0.2628793717489284	-0.18529831569414568	-0.02735328273947848	-0.006562202301213474	0.3386904875199569	-0.03208345182090783	0.025263498806204474	0.03023087409121747	-0.10389744746232799	0.06898931694994903	-0.183516381570233	0.49794756383545574
1	6.0	150.0	4.0094448950620025	8.5	6.0	9.000774531371276	0.8263333333333334	0.7932746543817472	0.9167944851614319	-0.04068039899924516	-0.20533882836018946	-0.20679604936636153	0.15038064634356926	0.1409697848595451	0.25771705900663044	0.09758375244765943	0.2016609345311341	-0.08719662151451477	-0.31280946957544986	0.1757645809284947	-0.21577315308830752	0.5010093126169062
2	6.0	150.0	1.5602778464700677	9.833333333333334	6.0	8.801776073716114	0.8109999999999999	0.6376154525921923	0.9104039256932888	0.00953224919486119	-0.2567046944090194	-0.2703751585756283	-0.12209487739537347	0.13136403291072063	0.2827991312071742	-0.053111206752160356	0.3431770200691301	0.09127514231667347	-0.5057935134363907	0.21025322199059773	-0.32234692663833875	0.49768487230291963
3	6.5	162.5	1.699181369652911	10.166666666666666	6.125	7.913332605925549	0.8093333333333333	0.6598364822820971	0.9091129336839794	0.20083049553139237	-0.1559021289489907	-0.32584307055092615	-0.16375134837570254	-0.2032288789968179	0.15841283412207985	-0.06660443485462142	0.5836361434743534	0.08728510198397081	-0.5365859156422155	0.10644202325292716	-0.3432062359768123	0.5039779637504782
4	6.5	162.5	2.508581295750887	9.166666666666666	6.21875	10.98413491122971	0.8016666666666667	0.8259335852122375	0.9064093589433323	0.06698988520464311	-0.06416046055215323	-0.20811567828933508	-0.12456498620845394	-0.12415032415477628	0.08924936847422733	-0.006044385444668274	0.6659005397035296	0.0959598761968227	-0.7106486269025859	0.1478033498492017	-0.40212901376964194	0.4937070356127873
5	5.666666666666667	141.66666666666666	4.329882677870149	7.833333333333333	6.080729166666667	9.556700087424366	0.802	0.7075826017158197	0.9007552645127114	0.3025442526439329	0.043370822738881445	-0.23169956473993655	-0.15062019744902594	-0.027507463437160415	0.15588645702352877	-0.22761089217257663	0.6371113318904277	-0.05470984312636243	-0.7495346486215169	0.07004438336220101	-0.3390473636679917	0.4898300918667442
6	6.0	150.0	4.093743906702801	8.666666666666666	6.060546875	8.259741009957166	0.8043333333333335	0.8023879080780286	0.899614824713943	0.23351975141167297	0.1817411574117342	-0.31265184770136545	-0.14033927165432655	-0.1626162322518378	0.013223839410177213	-0.35671531297867765	0.5408507797250764	-0.11773168979463046	-0.8216264529981055	0.12601991911634897	-0.160094797617386	0.4883237876437554
7	6.0	150.0	3.3251847012289737	8.0	6.04541015625	9.1179546633256	0.8376666666666667	0.8327433258941315	0.9256911570616425	0.40287670026175787	0.24860207524530442	-0.42199710165498294	-0.20207973302654667	-0.1156118350461198	0.1500642644960207	-0.36499194573425375	0.5518374861195041	-0.15843885366342858	-0.7313927353917492	0.1953897122354626	-0.2119494269458949	0.48376733028058116
8	6.166666666666667	154.16666666666666	3.9432884304290674	8.833333333333334	6.075724283854167	10.151515107777607	0.8313333333333334	0.8730230034489433	0.9163617123692388	0.3883814890924173	0.18290324051749546	-0.38705220511745436	-0.150664044780787	-0.15044506600331958	0.09174535287789459	-0.37562251952862397	0.5527816306124133	-0.15443211217949995	-0.6655998021603184	0.16117560442293277	-0.2485763326414642	0.486522460237149
9	6.333333333333333	158.33333333333334	3.616520980579491	9.333333333333334	6.140126546223958	9.253932131403028	0.8413333333333334	0.8716489575364403	0.9296485472944154	0.10294948043926266	0.04694449517572996	-0.7600967887739837	-0.08034941533323568	-0.12440360930203816	0.09841419248058532	-0.3487076856472387	0.3884564251133994	-0.09940552367533614	-0.2778709541024868	0.019628539898341207	-0.08906616269718615	0.49047550845448284
