epoch	reward	protected_cells	budget_left	time_last_protect	running_reward	avg_cost	extant_sp	extant_sp_value	extant_sp_pd	coeff_0	coeff_1	coeff_2	coeff_3	coeff_4	coeff_5	coeff_6	coeff_7	coeff_8	coeff_9	coeff_10	coeff_11	coeff_12	coeff_13	coeff_14	coeff_15	coeff_16	coeff_17	coeff_18	coeff_19	coeff_20	coeff_21	threshold_0
0	-79.33333333333333	162.5	1.5261401184634893	10.0	-79.33333333333333	10.222508216954141	0.8413333333333334	0.7246720446160637	0.9214875721995498	-2.2002785687071023	11.976663616894479	-4.274188629234129	-3.6502459558800973	-0.093420356982896	-0.07468592883713351	-6.672653351300537	-0.9755112598975694	7.314493660786056	-2.7559903914809616	-0.7887622913603223	-3.7553855045227262	1.6850911823356667	-0.8105915163526025	-7.884075435986388	-6.721914445423761	-2.778177827273547	-5.090037203725331	5.1120326917697225	-0.5097195059029703	-0.43065691688357777	-0.6114214951979157	0.39823610151918415
1	-96.5	150.0	3.350396266697088	8.166666666666666	-83.625	10.275620003733357	0.807	0.8238121761143073	0.9143867810610108	-6.35099396832566	5.087953858744607	-11.444828451069103	-11.095226624430733	7.978719740326196	3.583766625752063	-8.105943735923432	-10.153350782421528	4.655903813751511	-5.423875783351196	0.539192630795452	6.027645245405504	1.1692776360064647	7.17086889731576	-11.724731075270377	-8.653880370092873	-3.712773074570629	-0.8147633980417766	1.831645792943117	-2.9576411099320556	-3.624313179617486	-0.19295500455361791	0.6578752223837268
2	-97.83333333333333	133.33333333333334	2.5667163681399447	7.666666666666667	-87.17708333333333	10.587595288048135	0.8043333333333332	0.9103761620935219	0.9155582504636445	-8.619521261716187	9.276435033869813	6.169850251588262	-1.0802836723084752	5.7531466273196035	4.892198385973334	-4.035479518743414	-16.3273794196385	4.126894683639643	-12.578230769671109	2.280417727242443	-4.442536572698609	5.82783898904674	5.151060308324397	-20.874171017513216	-20.501260166668875	-0.32646700915972104	-0.5847615327257285	7.325860581240573	9.139633424345341	-15.988873847647131	-17.134861796622445	0.7020999494002714
3	-97.0	145.83333333333334	3.118410176949394	9.333333333333334	-89.6328125	9.98951057368503	0.806	0.8457240457857781	0.9121074593636845	-2.5706578208404993	9.0476688510773	-3.118827916447522	-4.480334962069206	6.993962601386591	2.767785088784787	-1.5759267095070628	-17.024650132998186	13.482922077951882	-12.444893426997536	4.565146567134337	-4.433225073779338	-3.444317177642824	5.227649956841144	-17.88384367511352	-26.54046058286327	-2.5941472548853586	3.3515176243499774	-3.4859543379420472	-1.9472293415724096	-13.436824283586025	-23.489159583294196	0.5496006184669049
4	-80.33333333333333	154.16666666666666	2.4139057236615775	8.666666666666666	-87.30794270833333	8.528562565699852	0.8393333333333333	0.7434582781985393	0.9251348142811943	-3.784951235446879	7.525532295374681	-3.458824128625796	-2.0405000270515736	9.389274817796863	3.4698879085535115	-0.6400235428390306	-14.571597579338125	11.608606034940262	-14.875126973943612	2.3781775447051103	-4.90270280428556	-3.534084953025643	5.6441010438505295	-19.28779709807157	-26.98384132102123	1.9783329111393941	0.3233528933197385	-2.8957680424545993	-2.9210138028203945	-14.358372471150275	-26.71334429503355	0.5856651838494467
5	-89.5	162.5	3.2410596146884068	8.5	-87.85595703125	7.260114398860508	0.8209999999999998	0.8405048941197143	0.9170130327624021	0.8309564996061671	8.23284185285917	-4.254100926806398	-6.386992708727188	18.135751431145344	3.9638798200357983	-6.331864802678604	-17.572742315256175	13.52949254910967	-18.61673907514074	-1.3128177637017937	-7.648322935655595	0.6780556739788017	4.0628717238509235	-18.27816554432725	-24.711828247195907	-1.1897371479122167	3.3977818566965396	-4.030197081650554	-4.582011636620728	-15.111106152624476	-31.607810764298986	0.44129129008102314
6	-88.83333333333333	154.16666666666666	1.5653451723514655	9.666666666666666	-88.10030110677083	9.164537197479184	0.8223333333333334	0.8444611305955162	0.9163423525282424	3.30499935614534	5.62426394145864	-4.021147424070943	-5.005361773163207	20.893233079372074	7.51971723304585	-8.386636681013362	-14.431424610468895	18.13965788816255	-18.634487443179246	0.45415433528359395	-9.472725825204977	0.40698013392052995	6.246429225682442	-20.51826990389349	-27.09538736053671	-4.214104793097028	3.5598982605419223	-3.24803845311523	-3.502465376358026	-16.299810129512213	-28.312912000996064	0.615373656085606
7	-72.5	170.83333333333334	3.835889959362912	9.166666666666666	-84.20022583007812	8.27008861297002	0.855	0.8311596511822877	0.9267082510400496	2.181811354612019	4.722194323646982	-4.187338921962286	-6.766381873735581	14.954715352564522	7.711458445307084	-6.322061771863607	-13.43551717423628	19.229681062155198	-18.024561291233084	-0.29348418126419973	-3.5294735050764734	0.14348725721401784	6.316121179062207	-17.02067444917507	-28.021571929624713	-3.5235358264519934	4.029867603038449	-1.5030630898198065	-2.0323565671756345	-16.77281942706413	-30.541253975179632	0.38075730266481145
8	-89.0	158.33333333333334	3.0887620951402575	9.0	-85.4001693725586	7.864404540233823	0.822	0.824765334421881	0.9198921257579111	3.882219957349502	-3.2398495638635394	-7.5338862453474755	-2.4111769304665227	13.334529127326363	10.28041176740821	-6.628865615815796	-19.056504826257164	17.04443785041824	-13.464837599059983	3.252546535814967	-9.484515761430853	-6.96652039912778	4.564987796940703	-18.26177695509012	-25.89888526097085	2.5257264119525993	-6.572525210613376	-3.1911502883855576	-9.236830565391342	-8.656581239209425	-31.3278410024461	0.3462500394352886
9	-86.66666666666667	154.16666666666666	2.261492858530072	8.333333333333334	-85.71679369608562	9.40701807708483	0.8266666666666667	0.8524733414348916	0.9228042779679675	3.970495549739272	-7.603318180447301	-7.412877980459851	-2.3636959040989525	11.514519307258237	12.089074116946207	-7.355289442208481	-20.173989079000684	17.314755281783505	-12.044288315543039	1.4229855392444655	-8.999995896826581	-8.025506583876545	8.108431980285628	-19.90051765795728	-24.655489301207787	3.464885620913491	-8.680180408189866	-2.444968180085942	-3.976195129632054	-10.513968057040751	-31.028043233226335	0.23220151616582774
