epoch	reward	protected_cells	budget_left	time_last_protect	running_reward	avg_cost	extant_sp	extant_sp_value	extant_sp_pd	coeff_0	coeff_1	coeff_2	coeff_3	coeff_4	coeff_5	coeff_6	coeff_7	coeff_8	coeff_9	coeff_10	coeff_11	coeff_12	coeff_13	coeff_14	coeff_15	coeff_16	coeff_17	coeff_18	coeff_19	coeff_20	coeff_21	coeff_22	coeff_23	coeff_24	coeff_25	coeff_26	coeff_27	coeff_28	coeff_29	coeff_30	coeff_31	coeff_32	coeff_33	coeff_34	coeff_35	coeff_36	coeff_37	coeff_38	coeff_39	coeff_40	coeff_41	coeff_42	coeff_43	coeff_44	coeff_45	coeff_46	coeff_47	threshold_0
0	-65.66666666666667	191.66666666666666	2.4113304756554133	10.0	-65.66666666666667	6.212095022639371	0.8686666666666668	0.813036570021962	0.9362929445128686	2.2857280319868285	1.1378973307737554	-7.9730357897806226	1.2841149193748758	4.339860010342325	4.30936167434836	-2.207313132510508	-6.8039650778624114	-0.8844913282701912	5.6501741543497825	-0.6250442127222684	2.989719397658401	3.762645583013527	-4.124929645862945	-6.543974874025232	-1.2587332828480429	2.4076221855292266	-0.46757817217188935	3.23056739776744	1.183426106893764	-0.8316133210808175	-4.491471075521658	4.776126537517742	-1.0936002955844903	4.139523086510977	0.7557836676085241	-1.4480256785385113	-2.2274905912173946	-6.047907735223163	-4.807894500776902	6.418511104437435	-0.8733162599362047	-0.40861017101774544	-3.0019331795809747	1.5219496201860658	-1.375898401248976	-0.40263078542497654	4.085588517466563	-2.2755177296633273	5.245210771717147	6.759251870912567	4.108945979444493	-2.3333163014734093	8.015485885321036	2.796754871299918	-4.561307316399735	-2.190901179532418	-4.260265694319706	0.5653700835069859
1	-54.0	195.83333333333334	5.151203693666044	9.833333333333334	-62.75	7.439271547685268	0.892	0.9224792199632499	0.9475908840212686	1.0822538100885133	2.6263071912822804	-6.084299490132407	-2.766812413901855	1.1329028182706846	7.08043830143596	-0.0014832300954732425	-5.17005094722655	-7.23898317728025	5.71990556316422	-2.2746980685670124	0.9013446355806969	5.7732165496091525	-7.50257969525175	-11.342923786815604	-1.6931738653317687	5.845708428989571	0.1759370302875275	5.082518007899857	4.550699950953009	2.4082632091185014	0.3998888369587039	5.086587893390187	-0.7174142266999652	5.612285567192532	2.1573025105124657	0.9741931864297475	-4.346751310146432	-4.820568023579068	0.1775678116056545	0.7373084667478125	-0.5886308296829041	0.6728179851413576	1.2197599756527775	1.0711794174278257	-3.720589995106607	-3.000660012785372	1.0377468377064938	-2.559054190370847	5.338102231454645	6.645743290438589	4.425521412938731	-1.7265549976419134	9.32673068100587	1.6297834378355802	-2.8704204726240636	-2.8825459438662104	-3.4453501276264493	0.5771429664679275
2	-51.5	166.66666666666666	2.371288402484375	9.833333333333334	-59.9375	8.901817587976275	0.8970000000000001	0.8693730846496841	0.9444317222869986	2.9913931196050614	1.197820611370744	-5.5572827263658375	1.7972085030605909	2.022727580724349	10.231607002320782	-2.871501117344915	-6.415433097005833	-13.965589295797912	8.067637112336431	-2.5509669104346755	3.784282762642567	8.893772633812292	-4.832074743917296	-12.588147927605057	-2.566055910002005	6.974700973913766	-3.4869078119855152	-3.5699794998285714	3.3763673811039645	2.70789938305328	-0.38915216772518524	6.677038923335601	-0.04903767673720194	6.85877324005982	-0.25243200633983864	3.438425286403474	-0.21500172836887543	-3.358153754827496	-0.8557572966244773	0.8838721963271898	2.0523535361335705	1.17779332132378	1.8254209679885922	-2.082511278280622	-1.118256480505278	-4.153792379203224	-2.7005741247376642	-0.4225580756425642	7.5678340801871515	7.644347716119823	3.7854601944961987	-4.564239192553049	11.242119954060378	2.8849287525332414	-3.857034418964964	0.003991832207947965	-3.5325600047276007	0.4807566293441345
3	-54.333333333333336	170.83333333333334	3.748169607897404	8.833333333333334	-58.536458333333336	7.4982464858180675	0.8913333333333334	0.8698174001256614	0.9435359858050668	6.410387001406573	-2.8327185169830735	-10.453873517339584	-4.7771125778745	0.3459283016924395	10.753243778071857	-6.304263909184925	-1.8855953573996382	-13.41411396697414	11.64206833636343	-2.2715931557268956	1.0135987263150694	18.930686435432502	-6.526426609653964	-14.525479940630605	-0.7472659509078445	-0.032875017377353544	-0.5682432590397508	-4.187621836771362	4.290390550076704	4.9578434825871565	-6.591226001157316	7.780214999141599	-5.1599695897909035	10.09088388924407	0.21019216609823677	1.9043108478212263	0.19457619205037086	-11.031212720627623	5.657761869659565	-2.9534673154259696	2.604767766694732	2.241247934222595	2.2491064151759206	1.3532169094431232	-0.0919908463675001	0.5962293499990414	-5.369854995619326	-3.923803875360641	8.469839163206606	12.531073505497073	-1.615651031404909	-7.253875116462671	15.19156958875595	3.217314648462379	-4.349760536065752	9.102833971459534	0.517987568022642	0.41648546379091717
4	-77.0	154.16666666666666	2.519571242634496	8.333333333333334	-63.15234375	7.8043476794285604	0.8460000000000001	0.8518574155271342	0.9196933402718562	1.3300872965364405	-8.163118604922069	0.38270922045812306	6.6765170345158955	-5.771228251303797	13.033176115462059	-12.745516610482726	-3.8450939432684277	15.529585183285755	3.9846970881067723	-16.719158845841704	-2.7033646496253656	6.404364176886345	-16.42955715201649	-17.51063966777356	10.187275765590115	-1.6603302867263063	-0.28807556117312716	5.9914041906263265	11.567889984908426	-12.910017613013123	-8.653979302530255	2.310307993900845	2.669259817813608	-23.067973859807665	8.518735040526138	3.2554236247108523	-3.4974995741032173	-18.3486117730563	13.99816280984896	6.304614420500496	-0.042328287879890514	8.096144470202885	7.725267719435325	-12.122374786673113	-9.495336248804005	3.739049467336166	-3.1219728906972697	12.677690814113713	-3.2702545233456526	3.5164169464164825	-0.3796950449314418	0.08988271791940594	7.855939859177614	7.13311742729589	-0.49146838433620177	-3.1361499128545134	16.268363340152654	0.9076825661774331
5	-50.833333333333336	191.66666666666666	6.239734654632795	9.833333333333334	-60.072591145833336	7.36979545472578	0.8983333333333333	0.9012306045579207	0.9490251312850413	2.95617919138055	-8.639233034777995	2.2969926147377757	6.377928029417534	-5.744861106500551	11.204644078084428	-18.426726417722087	-0.7795663012497389	17.149093867802932	5.088401977990821	-16.253330021708212	-2.3141164980448754	10.593327373813008	-16.498964031247432	-17.51652755750617	7.32819862593162	-2.8759709006683654	1.6125256780415966	7.703737728454641	10.397276324875552	-11.922925905954257	-9.672205574168805	3.71634850645637	-0.6131457540507435	-23.497465564840116	7.063664080976501	3.9046389632880483	-3.983613807290696	-16.715620602827315	17.566640284952967	6.04284607303533	2.455102200278654	10.107866017402863	6.298011970546192	-8.67116415477486	-8.452274790401905	3.5576611431296943	-3.4295470344053216	10.78994740524156	-1.7954139553704729	2.641564087505764	-1.04603824490392	1.1454308206828432	5.094866677343006	8.937295737209087	-2.375181329552179	-1.4297884478126979	16.26481945067427	0.9319971720821362
6	-44.166666666666664	191.66666666666666	4.220356858070929	9.666666666666666	-56.096110026041664	8.652482109383325	0.9116666666666666	0.8862773061811495	0.9544970476392614	4.048303616162043	-12.373711238666406	4.012113625351317	11.893234046565869	-6.045805211003551	15.041679510310956	-20.120727747567912	-4.128331140475321	18.366658127028245	2.54706660338254	-18.380628151204327	-3.9919811770408966	12.21261907119299	-18.783106774794454	-16.222074644821156	11.218122822548791	-6.989445699188157	2.585153319582225	5.401668083181404	9.749681120291026	-13.138149499194377	-5.947753450343296	4.636964417884315	0.8638828331075112	-22.906148555895776	4.922529089590274	2.979286125321374	-3.321997086308201	-16.138204558080087	19.611153053304005	4.976560735733537	2.3011011111772532	9.39176035328662	12.211801022484979	-10.70048425834645	-15.509494730705512	0.5802127584930257	-2.620703898211762	7.546312300557518	1.8926046384209472	5.915412444400639	-1.4899085454102337	-2.7203276769042204	8.05547519597718	7.352805755714888	-2.1862800088849106	0.3415687185124501	13.820744742745369	0.9138146148595708
7	-51.5	179.16666666666666	6.959566780031543	9.166666666666666	-54.94708251953125	7.174827479289308	0.8970000000000001	0.8941028516697939	0.9505949240388308	3.3357407103976326	-13.195200849780722	5.1384994925214835	10.23584236384159	-5.521150125546815	14.85555543626569	-16.19214768379561	-6.131558220269511	18.412249678858373	4.074289364718466	-21.700732030167195	0.5233274284725997	11.655658889884496	-18.78362808160798	-16.939634478843644	11.752240225332104	-6.205588368640276	2.215330607327877	5.170826558103447	8.207976944509323	-17.2077210122066	-8.111592198762422	4.520185116700755	-1.238482527878173	-22.93635001579852	4.907118242513786	2.825782751894896	-2.878936826660382	-14.497263417706593	17.297653606993727	4.438303399445747	1.741657940626066	9.21730177579807	11.45451579167817	-9.576450207748543	-15.697683773036994	-1.5840478223478973	-3.6413579872882935	7.95468871048598	4.163025275417664	4.00539414509273	-2.4002377492950777	-2.288190516083115	9.01201150495085	9.691438413588672	-3.5178211132363746	0.31005190463495186	12.907908032812072	0.8808561394217073
8	-43.833333333333336	204.16666666666666	3.6658600272040687	14.333333333333334	-52.16864522298177	6.296314654950017	0.9123333333333333	0.8181606649202257	0.9569961843967348	2.7089218574467644	-14.611981408909394	6.4281056796654825	9.548382433196425	-5.521174750715565	21.241237987471685	-16.209246361307432	-9.051979139851298	16.688186747106688	2.720118180594343	-20.535170450897727	-2.099855399215153	12.956386435203008	-21.070194276837807	-13.724593156611581	11.859519915133177	-8.231919916814377	3.1132306724566177	5.71260676773574	6.123179992976468	-14.844328971033002	-7.531552146888042	4.900440721694817	-5.491139408589351	-23.622748212046993	5.16055653468959	5.369945744662954	-7.9025103871721925	-14.038559233247835	18.564742176180594	6.352330547285508	2.8183744311347647	9.500942457091853	10.079742598695548	-10.242563573676673	-16.197032739093025	1.9052444056315876	-7.823151829803381	9.659284823609124	2.710795224586487	1.2567795631243346	-1.803948643040565	-0.08613150832798588	11.683369478940982	11.48837774666923	-1.8242325997440016	1.209223839605411	13.354202415650821	0.8676623775225224
9	-58.333333333333336	191.66666666666666	7.905804887046965	9.666666666666666	-53.709817250569664	8.165928465141718	0.8833333333333334	0.9185896859282598	0.940484237490152	-3.771112857089511	-14.200762004859564	3.8013388408640085	10.073483260020852	-7.546702617243081	22.583909625195023	-16.659320396697417	-11.772345712967342	20.817957151258238	2.240490907516683	-23.68434550833848	-0.16055280326288512	11.142048057705153	-24.872600341864654	-11.94338489615085	10.30618865211344	-4.706349347734732	-2.2069754024269126	3.8219816019734836	10.395787087099519	-14.271843709406996	-9.647019345430051	8.88136308166623	-4.016643520860771	-23.51126155749443	7.4264147139194705	2.1313785062814663	-9.162388522419809	-12.544423767334575	22.161016759804742	5.289668816842351	4.003996108003362	9.840390023072686	10.787443467099404	-15.15824019663378	-13.612786133197009	-2.6582918314078947	-10.484199172887468	11.214877969720918	0.21888301176788527	5.161108613874801	-1.5215283931529298	2.573847334970242	10.718666410773015	16.04266726257374	-1.8452299796600615	-0.20834179816778398	18.728544401876213	0.7811244417063709
